TC Reductions
40001500042009RI. WEISS & SONS INC. 2-07 BORDEN AVENUE   000002640004
40001600252009RE J & P LLC          50-02 51 AVENUE      000004268504
40002400012008R40 20 23RD INC       44-64 45 AVENUE      000000115004
"40002700232009RDESIGN CENTER REALTY,5-01 46 ROAD         000000162004"
40002900182009RSLOOP STEPHEN        5-17 47 ROAD         000000225504
"40003200332009RLICQ, LLC            5-14 49 AVENUE       000001856004"
40003200502009RPLASTIC CENTER INC   49-06 VERNON BOULEVAR000000716504
40003800082009R                     53-21 VERNON BOULEVAR000000358504
40004400172009R10-37 49TH AVE CORP  10-37 49 AVENUE      000001046504
40004600392008RNEW YORK CITY INDUSTR10-30 47 AVENUE      000000034004
40004600392009RNEW YORK CITY INDUSTR10-30 47 AVENUE      000000488504
40004800012009RTHE DRAKOTOS FAMILY L46-17 VERNON BOULEVAR000001685004
40004800052009RTHE DRAKOTOS FAMILY L10-11 46 ROAD        000000194004
40004800432009RTHE DRAKOTOS FAMILY L10-10 46 AVENUE      000000614004
40005100362009RBINJAMA REALTY INC   10-06 44 DRIVE       000000200004
40005200282009RALICE WELSH CORP     11-12 44 DRIVE       000002150004
40005200332009RTALL REALTY CO LLC   11-34 44 DRIVE       000000414502
40005400042009RL HUTZLER            45-36 21 STREET      000000402504
40005600492009RDJL RLTY INC         11-48 46 ROAD        000000300504
40006100112008RPLAX ALL INC         47-40 21 STREET      000005450004
40007100222008RBRIDGEDALE LLC       MIDTOWN TUN PLAZA    000002685004
40007100222009RBRIDGEDALE LLC       MIDTOWN TUN PLAZA    000001335004
40007200652009RPLASTIC CENTER INC   22-12 JACKSON AVENUE 000001310004
40007600092009RJOBEN CORPORATION    21-19 46 AVENUE      000000453504
40007700202008REMPIREFIND REALTY INC21-41 45 ROAD        000000287504
40007700352009R21 29 45TH ROAD INC  21-50 45 AVENUE      000000127504
"40008000232009RTOYOKO INN NEW YORK, 24-17 JACKSON AVENUE 000001627504"
40008210012008R                     27-28 THOMSON AVENUE 000002501444
40008210012009R                     27-28 THOMSON AVENUE 000002867584
40008500032009RKODO REALTY LLC      23-08 JACKSON AVENUE 000000865004
40008500522009RVINCENZO & TOMMASA AS45-24 PEARSON STREET 000000073504
40009900302009RPSTR REALTY CORP     25-61 49 AVENUE      000001925004
40011500362008RLARKIN REALTY LLC    47-55 27 STREET      000000940004
40011501812009RYIP DAVID WE-SAN     47-46 30 STREET      000001275004
"40011502312008RANOROC REALTY, INC.  29-03 DUTCH KILLS STR000004465004"
"40011502312009RANOROC REALTY, INC.  29-03 DUTCH KILLS STR000004465004"
40013100172008RSUK HAN NG/TRUSTEE   50-02 SKILLMAN AVENUE000000855004
"40013800252008RMDL & S,             43-12 50 STREET      000001020004"
"40013800252009RMDL & S,             43-12 50 STREET      000000930004"
40014201152009RK.H.L. FLAVORS INC   37-02 48 STREET      000000372004
40014202652008RSUKAT REALTY LLC     44-15 BARNETT AVENUE 000000042004
40014300102008R3500 48 STREET OWNERS45-10 48 STREET      000009450004
40014305002009RGENERAL MOTORS COMPAN43-40 NORTHERN BOULEV000006700004
40015100282009RALESSIO ICCARI       47-04 GREENPOINT AVEN000000421504
"40015100302009RBAZON, MOSHE         47-08 GREENPOINT AVEN000000391504"
40015300172008R4602-4626 GREENPOINTA46-12 GREENPOINT AVEN000017230004
40015300172009R4602-4626 GREENPOINTA46-12 GREENPOINT AVEN000011775004
"40015600532009R4515 REALTY,LLC      45-15 43 AVENUE      000000092502"
"40015700352009RSZE, HAK-CHU         41-30 43 AVENUE      000000102642B"
40015800232009RJANTEN DEVELOPMENT LL43-10 SKILLMAN AVENUE000000150601
40015800242009RJANTEN DEVELOPMENT LL43-12 SKILLMAN AVENUE000000125401
40015800382009RSERVICE APARTMENTS IN41-44 44 STREET      000000440002
40015801242009RJANTEN DEVELOPMENT LL43-14 SKILLMAN AVENUE000000094801
40016400112008RRASELL REALTY CORP   45-02 QUEENS BOULEVAR000002005004
40016500112008RPARTNERS 2004 LLC C/O45-18 GREENPOINT AVEN000002605004
40017000092009RDOSS DOROTHY         47-25 45 STREET      000000150732A
40017300012008RBREIDBART MURRAY     43-01 43 STREET      000000410004
"40018302982009RESCO ESTATES, LLC    43 STREET            000000649004"
40018303322008RARGONAUT HOLDINGS INC39-10 43 STREET      000002180004
40018303322009RARGONAUT HOLDINGS INC39-10 43 STREET      000002190004
40018700192009R39-04 SKILLMAN LLC   39-02 SKILLMAN AVENUE000000297504
40018900452009R135 WEST 28TH STREET 40-15 QUEENS BOULEVAR000001105004
40019000052009R39-23 QUEENS REALTY L39-23 QUEENS BOULEVAR000001880004
40019000432009R1824-53 STREET REALTY43-40 40 STREET      000000419502
"40019000442008RGAVIN, LILLIAN       39-39 QUEENS BOULEVAR000000630004"
40019200542009RJERRILINE HOLDING COR45-48 42 STREET      000000227002
40019300552008R45-54 41ST STREET ASS45-54 41 STREET      000000235002
40019500072009RSHANNON ASSOCIATES OF45-55 39 STREET      000000561502
"40019600012008RAPPL REALTY, LLC     41-07 GREENPOINT AVEN000000150004"
40019600322009R47-20 OWERNS CORP    47-20 42 STREET      000001210002
40021402102009R33-00 PARTNERS LLC   33-00 NORTHERN BOULEV000012850004
40021500092009R41-41 38TH STREET LLC41-39 39 STREET      000000565004
40021600382009RVTI REALTY INC       41-24 38 STREET      000001775004
